Date,Experiment,Block,Plot,Treatment,Treatment2,Species,Sample_ID,Aboveground_Biomass,MC Count,Total Count,Ratio_Colonized,Perc_MC_Colonized,Notes,Notes2
12/2/21,Change,A,A3,10,10,Dichanthelium_oligosanthes,DO_Change_A3,0.43,20,34,0.588235294,58.82352941,,
12/3/21,Change,A,A6,Control,0,Dichanthelium_oligosanthes,DO_Change_A6,0.11,56,77,0.727272727,72.72727273,,
12/3/21,Change,A,A8,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_A8,0.05,42,83,0.506024096,50.60240964,,
11/30/21,Change,B,B9,Control,0,Dichanthelium_oligosanthes,DO_Change_B9,0.66,27,62,0.435483871,43.5483871,,
12/5/21,Change,B,B10,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_B10,0.24,34,60,0.566666667,56.66666667,,
12/2/21,Change,B,B12,20,20,Dichanthelium_oligosanthes,DO_Change_B12,0.57,28,38,0.736842105,73.68421053,barky,
12/3/21,Change,B,B15,10,10,Dichanthelium_oligosanthes,DO_Change_B15,0.09,54,83,0.65060241,65.06024096,,
12/3/21,Change,C,C18,20,20,Dichanthelium_oligosanthes,DO_Change_C18,1.35,43,67,0.641791045,64.17910448,,
12/2/21,Change,C,C21,Control,0,Dichanthelium_oligosanthes,DO_Change_C21,0.07,13,40,0.325,32.5,,
12/3/21,Change,C,C22,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_C22,0.09,35,69,0.507246377,50.72463768,,
12/3/21,Change,D,D25,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_D25,0.01,50,66,0.757575758,75.75757576,,
12/3/21,Change,D,D30,Control,0,Dichanthelium_oligosanthes,DO_Change_D30,0.08,30,56,0.535714286,53.57142857,,
11/30/21,Change,D,D31,10,10,Dichanthelium_oligosanthes,DO_Change_D31,0.03,39,72,0.541666667,54.16666667,,
11/30/21,Change,D,D32,20,20,Dichanthelium_oligosanthes,DO_Change_D32,0.14,7,12,0.583333333,58.33333333,,
12/3/21,Change,E,E33,Control,0,Dichanthelium_oligosanthes,DO_Change_E33,0.21,43,76,0.565789474,56.57894737,,
12/2/21,Change,E,E34,20,20,Dichanthelium_oligosanthes,DO_Change_E34,0.16,57,84,0.678571429,67.85714286,,
12/3/21,Change,E,E37,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_E37,0.29,56,91,0.615384615,61.53846154,,
12/2/21,Change,E,E40,10,10,Dichanthelium_oligosanthes,DO_Change_E40,0.15,43,66,0.651515152,65.15151515,,
12/3/21,Change,F,F41,20,20,Dichanthelium_oligosanthes,DO_Change_F41,0.63,60,84,0.714285714,71.42857143,,
12/3/21,Change,F,F44,10,10,Dichanthelium_oligosanthes,DO_Change_F44,0.11,41,66,0.621212121,62.12121212,,
,,,,,,,,,,,,,Missing,
12/2/21,Change,F,F48,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_F48,0.18,13,27,0.481481482,48.14814815,small sample,
1/1/22,Pplots,,F1,Control,0,Ambrosia_psilostachya,AP_Pplots_F1,0.09,1,14,0.071428571,7.142857143,small sample,
1/4/22,Pplots,,E5,10,10,Ambrosia_psilostachya,AP_Plots_E5,1.81,22,52,0.423076923,42.30769231,,
1/4/22,Pplots,,C5,Control,0,Ambrosia_psilostachya,AP_Pplots_C5,0.53,23,52,0.442307692,44.23076923,,
,,,,,,,,,,,,,Missing,
1/4/22,Pplots,,D6,Control,0,Ambrosia_psilostachya,AP_Pplots_D6,0.02,22,34,0.647058824,64.70588235,,
,Pplots,,C6,Control,0,Ambrosia_psilostachya,AP_Pplots_C6,0.03,3,28,0.107142857,10.71428571,,
,Pplots,,B6,10,10,Ambrosia_psilostachya,AP_Pplots_B6,1.73,4,50,0.08,8,,
1/4/22,Pplots,,D7,10,10,Ambrosia_psilostachya,AP_Pplots_D7,0.58,14,47,0.29787234,29.78723404,,
1/4/22,Pplots,,C7,10,10,Ambrosia_psilostachya,AP_Pplots_C7,1.06,16,32,0.5,50,,
,Pplots,,B7,10,10,Ambrosia_psilostachya,AP_Pplots_B7,1.01,6,82,0.073170732,7.317073171,,
1/1/22,Pplots,,F8,Control,0,Ambrosia_psilostachya,AP_Pplots_F8,0.04,7,18,0.388888889,38.88888889,small sample,
12/14/21,Pplots,,E8,10,10,Ambrosia_psilostachya,AP_Pplots_E8,0.57,21,35,0.6,60,,
,Change,A,A2,20,20,Ambrosia_psilostachya,AP_Change_A2,0.94,2,48,0.041666667,4.166666667,,
1/4/22,Change,A,A3,10,10,Ambrosia_psilostachya,AP_Change_A3,0.77,12,29,0.413793103,41.37931034,,
1/4/22,Change,A,A6,Control,0,Ambrosia_psilostachya,AP_Change_A6,0.22,3,18,0.166666667,16.66666667,,
1/4/22,Change,A,A8,2.5,2.5,Ambrosia_psilostachya,AP_Change_A8,0.57,1,10,0.1,10,,
1/4/22,Change,B,B9,Control,0,Ambrosia_psilostachya,AP_Change_B9,0.39,2,18,0.111111111,11.11111111,,
12/14/21,Change,B,B10,2.5,2.5,Ambrosia_psilostachya,AP_Change_B10,0.37,4,15,0.266666667,26.66666667,,
,Change,B,B12,20,20,Ambrosia_psilostachya,AP_Change_B12,0.52,5,59,0.084745763,8.474576271,,
,Change,B,B15,10,10,Ambrosia_psilostachya,AP_Change_B15,1.05,4,41,0.097560976,9.756097561,,
,Change,C,C18,20,20,Ambrosia_psilostachya,AP_Change_C18,1.9,4,51,0.078431373,7.843137255,,
,Change,C,C19,10,10,Ambrosia_psilostachya,AP_Change_C19,0.86,4,35,0.114285714,11.42857143,,
1/1/22,Change,C,C21,Control,0,Ambrosia_psilostachya,AP_Change_C21,0.09,5,24,0.208333333,20.83333333,,
,Change,C,C22,2.5,2.5,Ambrosia_psilostachya,AP_Change_C22,0.02,8,18,0.444444444,44.44444444,,
,Change,D,D25,2.5,2.5,Ambrosia_psilostachya,AP_Change_D25,0.02,0,39,0,0,,
1/4/22,Change,D,D30,Control,0,Ambrosia_psilostachya,AP_Change_D30,0.14,3,24,0.125,12.5,,
1/4/22,Change,D,D31,10,10,Ambrosia_psilostachya,AP_Change_D31,1.09,21,34,0.617647059,61.76470588,,
1/3/22,Change,D,D32,20,20,Ambrosia_psilostachya,AP_Change_D32,0.22,8,40,0.2,20,,
,Change,E,E33,Control,0,Ambrosia_psilostachya,AP_Change_E33,0.15,1,5,0.2,20,,
,Change,E,E34,20,20,Ambrosia_psilostachya,AP_Change_E34,2.03,5,59,0.084745763,8.474576271,,
,Change,E,E37,2.5,2.5,Ambrosia_psilostachya,AP_Change_E37,1.98,3,107,0.028037383,2.803738318,,
12/14/21,Change,E,E40,10,10,Ambrosia_psilostachya,AP_Change_E40,,,,,,no sample collected,
1/4/22,Change,F,F41,20,20,Ambrosia_psilostachya,AP_Change_F41,2.02,26,43,0.604651163,60.46511628,,
,Change,F,F44,10,10,Ambrosia_psilostachya,AP_Change_F44,0.31,2,21,0.095238095,9.523809524,,
,Change,F,F45,Control,0,Ambrosia_psilostachya,AP_Change_F45,0.56,3,34,0.088235294,8.823529412,,
1/4/22,Change,F,F48,2.5,2.5,Ambrosia_psilostachya,AP_Change_F48,0.27,24,57,0.421052632,42.10526316,,
,,,,,,,,,,,,,Missing,
,Pplots,,E5,10,10,Solidago_missouriensis,SM_Pplots_E5,1.67,11,29,0.379310345,37.93103448,,
,Pplots,,C5,Control,0,Solidago_missouriensis,SM_Pplots_C5,0.41,52,88,0.590909091,59.09090909,,
12/14/21,Pplots,,A5,Control,0,Solidago_missouriensis,SM_Pplots_A5,1.39,23,32,0.71875,71.875,,
1/4/22,Pplots,,D6,Control,0,Solidago_missouriensis,SM_Pplots_D6,0.55,7,25,0.28,28,,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
12/14/21,Pplots,,C7,10,10,Solidago_missouriensis,SM_Pplots_C7,1.19,23,44,0.522727273,52.27272727,,
,Pplots,,B7,10,10,Solidago_missouriensis,SM_Pplots_B7,1.55,34,49,0.693877551,69.3877551,,
,,,,,,,,,,,,,Missing,
,Pplots,,E8,10,10,Solidago_missouriensis,SM_Pplots_E8,0.61,32,55,0.581818182,58.18181818,,
,Change,A,A2,20,20,Solidago_missouriensis,SM_Change_A2,11.63,38,73,0.520547945,52.05479452,,
,,,,,,,,,,,,,Missing,
,Change,A,A6,Control,0,Solidago_missouriensis,SM_Change_A6,1.19,49,63,0.777777778,77.77777778,,
,Change,A,A8,2.5,2.5,Solidago_missouriensis,SM_Change_A8,2.85,46,63,0.73015873,73.01587302,,
,,,,,,,,,,,,,Missing,
1/4/22,Change,B,B10,2.5,2.5,Solidago_missouriensis,SM_Change_B10,3.52,22,62,0.35483871,35.48387097,,
,Change,B,B12,20,20,Solidago_missouriensis,SM_Change_B12,1.35,50,76,0.657894737,65.78947368,,
,Change,B,B15,10,10,Solidago_missouriensis,SM_Change_B15,1.88,50,67,0.746268657,74.62686567,,
,Change,C,C18,20,20,Solidago_missouriensis,SM_Change_C18,4.17,1,16,0.0625,6.25,,
,Change,C,C19,10,10,Solidago_missouriensis,SM_Change_C19,2.78,51,88,0.579545455,57.95454545,,
,Change,C,C21,Control,0,Solidago_missouriensis,SM_Change_C21,4.79,41,75,0.546666667,54.66666667,,
,Change,C,C22,2.5,2.5,Solidago_missouriensis,SM_Change_C22,2.89,82,115,0.713043478,71.30434783,,
,Change,D,D25,2.5,2.5,Solidago_missouriensis,SM_Change_D25,5.32,34,70,0.485714286,48.57142857,,
,Change,D,D30,Control,0,Solidago_missouriensis,SM_Change_D30,3.81,18,56,0.321428571,32.14285714,,
,,,,,,,,,,,,,Missing,
,Change,D,D32,20,20,Solidago_missouriensis,SM_Change_D32,4.2,43,85,0.505882353,50.58823529,,
,Change,E,E33,Control,0,Solidago_missouriensis,SM_Change_E33,5.27,26,63,0.412698413,41.26984127,,
12/19/21,Change,E,E34,20,20,Solidago_missouriensis,SM_Change_E34,1.42,42,51,0.823529412,82.35294118,,
12/19/21,Change,E,E37,2.5,2.5,Solidago_missouriensis,SM_Change_E37,6.06,16,42,0.380952381,38.0952381,,
,,,,,,,,,,,,,Missing,
12/14/21,Change,F,F41,20,20,Solidago_missouriensis,SM_Change_F41,1.56,16,20,0.8,80,,
,,,,,,,,,,,,,Missing,
12/14/21,Change,F,F45,Control,0,Solidago_missouriensis,SM_Change_F45,,15,36,0.416666667,41.66666667,sample not clear,
,Change,F,F48,2.5,2.5,Solidago_missouriensis,SM_Change_F48,,59,75,0.786666667,78.66666667,,
,Pplots,,F1,Control,0,Andropogon_gerardii,AG_Pplots_F1,1.38,16,108,0.148148148,14.81481481,,
,Pplots,,E5,10,10,Andropogon_gerardii,AG_Pplots_E5,2.02,9,88,0.102272727,10.22727273,,
12/19/21,Pplots,,C5,Control,0,Andropogon_gerardii,AG_Pplots_C5,0.63,27,47,0.574468085,57.44680851,,
,,,,,,,,,,,,,Missing,
,Pplots,,D6,Control,0,Andropogon_gerardii,AG_Pplots_D6,0.64,45,87,0.517241379,51.72413793,,
,Pplots,,C6,Control,0,Andropogon_gerardii,AG_Pplots_C6,0.58,29,59,0.491525424,49.15254237,,
,Pplots,,B6,10,10,Andropogon_gerardii,AG_Pplots_B6,2.85,32,77,0.415584416,41.55844156,,
1/30/22,Pplots,,D7,10,10,Andropogon_gerardii,AG_Pplots_D7,2.25,8,28,0.285714286,28.57142857,,
,,,,,,,,,,,,,Missing,
,Pplots,,B7,10,10,Andropogon_gerardii,AG_Pplots_B7,3.43,21,72,0.291666667,29.16666667,,
,Pplots,,F8,Control,0,Andropogon_gerardii,AG_Pplots_F8,0.41,28,108,0.259259259,25.92592593,,
,Pplots,,E8,10,10,Andropogon_gerardii,AG_Pplots_E8,1.71,35,65,0.538461539,53.84615385,,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,Change,B,B10,2.5,2.5,Andropogon_gerardii,AG_Change_B10,0.32,21,62,0.338709677,33.87096774,,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,Change,C,C22,2.5,2.5,Andropogon_gerardii,AG_Change_C22,0.5,16,47,0.340425532,34.04255319,,
,Change,D,D25,2.5,2.5,Andropogon_gerardii,AG_Change_D25,0.58,22,51,0.431372549,43.1372549,,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,Change,F,F48,2.5,2.5,Andropogon_gerardii,AG_Change_F48,0.78,35,72,0.486111111,48.61111111,,
,Pplots,,F1,Control,0,Sorghastrum_nutans,SN_Pplots_F1,0.45,16,108,0.148148148,14.81481481,,
,Pplots,,E5,10,10,Sorghastrum_nutans,SN_Pplots_E5,0.37,25,66,0.378787879,37.87878788,,
,Pplots,,C5,Control,0,Sorghastrum_nutans,SN_Pplots_C5,0.41,14,59,0.237288136,23.72881356,,
,Pplots,,A5,Control,0,Sorghastrum_nutans,SN_Pplots_A5,0.84,12,69,0.173913044,17.39130435,,
,Pplots,,D6,Control,0,Sorghastrum_nutans,SN_Pplots_D6,0.46,35,95,0.368421053,36.84210526,,
,,,,,,,,,,,,,Missing,
,Pplots,,B6,10,10,Sorghastrum_nutans,SN_Pplots_B6,0.96,19,66,0.287878788,28.78787879,,
12/19/21,Pplots,,D7,10,10,Sorghastrum_nutans,SN_Pplots_D7,1.36,36,60,0.6,60,,
12/19/21,Pplots,,C7,10,10,Sorghastrum_nutans,SN_Pplots_C7,0.96,41,67,0.611940299,61.19402985,,
,Pplots,,B7,10,10,Sorghastrum_nutans,SN_Pplots_B7,1.51,16,77,0.207792208,20.77922078,,
,,,,,,,,,,,,,Missing,
,,,,,,,,,,,,,Missing,
,Change,A,A2,20,20,Sorghastrum_nutans,SN_Change_A2,0.56,19,90,0.211111111,21.11111111,,
,Change,A,A3,10,10,Sorghastrum_nutans,SN_Change_A3,0.37,21,78,0.269230769,26.92307692,,
12/19/21,Change,A,A6,Control,0,Sorghastrum_nutans,SN_Change_A6,0.94,19,57,0.333333333,33.33333333,,
12/14/21,Change,A,A8,2.5,2.5,Sorghastrum_nutans,SN_Change_A8,0.53,13,38,0.342105263,34.21052632,not sure if this is accurate?,
12/19/21,Change,B,B9,Control,0,Sorghastrum_nutans,SN_Change_B9,0.28,38,57,0.666666667,66.66666667,,
,Change,B,B10,2.5,2.5,Sorghastrum_nutans,SN_Change_B10,0.81,32,70,0.457142857,45.71428571,,
12/19/21,Change,B,B12,20,20,Sorghastrum_nutans,SN_Change_B12,0.29,48,70,0.685714286,68.57142857,,
,Change,B,B15,10,10,Sorghastrum_nutans,SN_Change_B15,0.72,31,85,0.364705882,36.47058824,,
,,,,,,,,,,,,,Missing,
12/14/21,Change,C,C19,10,10,Sorghastrum_nutans,SN_Change_C19,0.52,39,56,0.696428571,69.64285714,,
,Change,C,C21,Control,0,Sorghastrum_nutans,SN_Change_C21,0.38,28,82,0.341463415,34.14634146,,
12/14/21,Change,C,C22,2.5,2.5,Sorghastrum_nutans,SN_Change_C22,0.55,27,40,0.675,67.5,,
12/19/21,Change,D,D25,2.5,2.5,Sorghastrum_nutans,SN_Change_D25,,36,68,0.529411765,52.94117647,,
,Change,D,D30,Control,0,Sorghastrum_nutans,SN_Change_D30,0.72,24,82,0.292682927,29.26829268,,
,,,,,,,,,,,,,Missing,
12/14/21,Change,D,D32,20,20,Sorghastrum_nutans,SN_Change_D32,0.89,55,74,0.743243243,74.32432432,,
,Change,E,E33,Control,0,Sorghastrum_nutans,SN_Change_E33,0.44,11,51,0.215686275,21.56862745,,
,Change,E,E34,20,20,Sorghastrum_nutans,SN_Change_E34,0.96,20,67,0.298507463,29.85074627,,
,Change,E,E37,2.5,2.5,Sorghastrum_nutans,SN_Change_E37,0.37,34,97,0.350515464,35.05154639,,
,Change,E,E40,10,10,Sorghastrum_nutans,SN_Change_E40,0.41,10,41,0.243902439,24.3902439,,
,Change,F,F41,20,20,Sorghastrum_nutans,SN_Change_F41,2.88,19,61,0.31147541,31.14754098,,
12/14/21,Change,F,F44,10,10,Sorghastrum_nutans,SN_Change_F44,1.05,45,71,0.633802817,63.38028169,,
12/19/21,Change,F,F45,Control,0,Sorghastrum_nutans,SN_Change_F45,0.39,18,62,0.290322581,29.03225806,,
,Change,F,F48,2.5,2.5,Sorghastrum_nutans,SN_Change_F48,0.79,49,110,0.445454546,44.54545455,,
